AnimalID,Name,Species,BirthDate,Gender,Weight
1,"Boa, columbian rainbow",Epicrates cenchria maurus,1/17/1998,Female,339.97
2,Ringtail,Bassariscus astutus,6/3/2020,Female,84.72
3,Pronghorn,Antilocapra americana,1/26/2021,Female,452.2
4,"Capuchin, white-fronted",Cebus albifrons,11/14/1996,Male,780.7
5,"Dog, bush",Speothos vanaticus,7/21/2012,Female,216.6
6,Asian openbill,Anastomus oscitans,12/15/2020,Female,461.29
7,Lesser masked weaver,Ploceus intermedius,12/21/1995,Female,769.22
8,Sulfur-crested cockatoo,Cacatua galerita,9/24/2020,Female,152.83
9,African lion,Panthera leo,6/16/2005,Female,897.92
10,Harbor seal,Phoca vitulina,3/24/1995,Female,391.28
11,"Elephant, asian",Elephas maximus bengalensis,3/15/2004,Female,452.47
12,Osprey,Pandon haliaetus,3/13/2002,Female,684.79
13,Laughing dove,Streptopelia senegalensis,2/5/1999,Female,218.71
14,African darter,Anhinga rufa,4/6/2018,Female,997.5
15,Giraffe,Giraffe camelopardalis,11/1/2014,Female,941.47
16,"Reedbuck, bohor",Redunca redunca,11/19/2004,Female,142.3
17,Snowy owl,Nyctea scandiaca,8/27/2004,Male,581.3
18,"Jackal, silver-backed",Canis mesomelas,4/4/2004,Male,342.86
19,"Duck, comb",Sarkidornis melanotos,8/11/2008,Male,357.66
20,American marten,Martes americana,9/25/2020,Female,600.95
21,Black bear,Ursus americanus,3/10/2023,Female,581.2
22,"Francolin, swainson's",Francolinus swainsonii,11/14/1990,Female,600.05
23,Galapagos albatross,Diomedea irrorata,3/6/1995,Female,659.59
24,"Antelope, roan",Hippotragus equinus,6/12/2007,Male,453.88
25,"Baboon, savanna",Papio cynocephalus,1/23/1993,Female,863.23
26,Giant armadillo,Priodontes maximus,11/25/2007,Female,971.28
27,"Eland, common",Taurotagus oryx,7/23/2000,Female,430.98
28,Red-breasted nuthatch,Sitta canadensis,12/7/1991,Male,635.94
29,Southern boubou,Laniarius ferrugineus,8/3/2018,Female,490.02
30,Lizard (unidentified),unavailable,3/25/1995,Female,572.35
31,Eastern fox squirrel,Sciurus niger,10/1/2022,Female,822.16
32,Striped dolphin,Stenella coeruleoalba,3/12/2009,Male,993.52
33,Prehensile-tailed porcupine,Coendou prehensilis,9/7/2006,Female,541.32
34,Bottle-nose dolphin,Tursiops truncatus,5/16/2019,Male,861.66
35,"Jackal, silver-backed",Canis mesomelas,3/6/2012,Female,297.28
36,"Cormorant, javanese",Phalacrocorax niger,12/20/1998,Female,48.82
37,"Magpie, black-backed",Gymnorhina tibicen,6/22/2022,Female,298.57
38,"Curlew, black",Haematopus ater,3/3/2024,Female,644.97
39,"Lemming, arctic",Dicrostonyx groenlandicus,9/14/2016,Male,402.44
40,American buffalo,Bison bison,3/12/2012,Male,723.9
41,"Turkey, australian brush",Alectura lathami,5/25/2014,Female,842.73
42,Burmese black mountain tortoise,Manouria emys,1/1/1995,Female,460.79
43,"Kingfisher, white-throated",Halcyon smyrnesis,4/6/2002,Male,140.18
44,Blue-footed booby,Sula nebouxii,9/13/2012,Male,126.69
45,"Skunk, western spotted",Spilogale gracilis,2/6/1995,Female,626.7
46,"Jaeger, long-tailed",Stercorarius longicausus,5/28/2022,Female,722.19
47,"Jackal, black-backed",Canis mesomelas,7/31/2024,Male,901.48
48,"Lion, asian",Panthera leo persica,5/16/1993,Male,351.61
49,"Sheep, american bighorn",Ovis canadensis,3/11/2023,Male,258.08
50,Southern brown bandicoot,Isoodon obesulus,4/11/2018,Female,792.46
51,"Deer, black-tailed",Odocoileus hemionus,12/4/1999,Female,721.69
52,Eleven-banded armadillo (unidentified),Cabassous sp.,10/17/2010,Female,196.58
53,Common raccoon,Procyon lotor,3/17/2009,Male,488.97
54,"Eagle, crowned",Spizaetus coronatus,1/3/2005,Female,365.92
55,"Flycatcher, tyrant",Myiarchus tuberculifer,1/19/2005,Male,351.57
56,Cheetah,Acinynox jubatus,8/29/2024,Female,39.18
57,Glossy starling (unidentified),Lamprotornis sp.,7/30/1999,Female,300.99
58,"Jacana, african",Actophilornis africanus,5/2/2001,Female,20.54
59,Tiger,Panthera tigris,8/26/1994,Female,360.11
60,"Cat, european wild",Felis silvestris lybica,9/29/2018,Female,292.12
61,Tammar wallaby,Macropus eugenii,11/2/2005,Male,291.84
62,"Fox, north american red",Vulpes vulpes,10/4/2012,Female,879.93
63,"Sheep, red",Ovis ammon,3/29/2001,Male,996.88
64,Violet-crested turaco,Tauraco porphyrelophus,12/17/2013,Female,851.85
65,Spotted wood sandpiper,Tringa glareola,11/20/1992,Male,939.91
66,"Bandicoot, long-nosed",Perameles nasuta,10/2/2007,Female,832.2
67,"Gull, silver",Larus novaehollandiae,4/30/2000,Female,952.17
68,Galapagos tortoise,Geochelone elephantopus,9/30/2013,Female,751.39
69,Marine iguana,Amblyrhynchus cristatus,11/2/2014,Female,409.18
70,"Crab, sally lightfoot",Graspus graspus,9/20/2020,Female,485.85
71,"Bustard, denham's",Neotis denhami,9/18/2018,Female,453.0
72,"Baboon, gelada",Theropithecus gelada,5/23/2011,Female,961.79
73,"Whale, long-finned pilot",Globicephala melas,4/27/2020,Female,177.61
74,"Squirrel, thirteen-lined",Spermophilus tridecemlineatus,1/26/1994,Male,984.35
75,Barrows goldeneye,Bucephala clangula,10/3/2019,Female,515.52
76,Madagascar fruit bat,Pteropus rufus,10/17/2024,Female,760.05
77,Four-striped grass mouse,Rhabdomys pumilio,2/13/2000,Female,580.78
78,"Owl, snowy",Nyctea scandiaca,8/11/2013,Male,365.83
79,"Jackal, asiatic",Canis aureus,12/2/2021,Female,635.66
80,"Fox, blue",Alopex lagopus,12/31/1991,Male,45.58
81,Dusky rattlesnake,Crotalus triseriatus,1/29/2016,Female,304.36
82,African darter,Anhinga rufa,11/18/2018,Female,818.65
83,"Roadrunner, greater",Geococcyx californianus,5/25/1997,Male,579.86
84,"Sunbird, lesser double-collared",Nectarinia chalybea,4/3/1996,Female,993.58
85,"Sheep, stone",Ovis dalli stonei,2/15/2007,Male,280.62
86,Sockeye salmon,Oncorhynchus nerka,5/1/1993,Male,21.13
87,"Parakeet, rose-ringed",Psittacula krameri,2/14/1993,Female,736.71
88,"Heron, black-crowned night",Nycticorax nycticorax,9/8/2013,Female,751.37
89,Brazilian tapir,Tapirus terrestris,12/2/1995,Male,154.34
90,"Owl, australian masked",Tyto novaehollandiae,4/16/2022,Female,165.64
91,Galapagos penguin,Spheniscus mendiculus,11/28/2001,Female,925.2
92,Southern brown bandicoot,Isoodon obesulus,1/17/2013,Male,423.22
93,Onager,Equus hemionus,10/14/2000,Female,577.95
94,"Gull, herring",unavailable,5/18/1999,Female,698.99
95,Russian dragonfly,Libellula quadrimaculata,12/19/1994,Female,702.45
96,"Sunbird, lesser double-collared",Nectarinia chalybea,2/5/1995,Male,101.76
97,Jaguar,Panthera onca,1/30/1990,Female,789.5
98,Steller's sea lion,Eumetopias jubatus,3/15/2005,Female,609.27
99,Red-tailed cockatoo,Calyptorhynchus magnificus,3/1/2018,Female,861.67
100,Kongoni,Alcelaphus buselaphus cokii,8/3/2009,Female,292.6
101,Arctic fox,Alopex lagopus,3/12/1993,Female,671.19
102,Red hartebeest,Alcelaphus buselaphus caama,7/30/2017,Female,843.11
103,"Bee-eater, white-fronted",Merops bullockoides,7/2/2010,Female,676.85
104,"Camel, dromedary",Camelus dromedarius,6/4/2001,Female,862.73
105,"Oystercatcher, blackish",Haematopus ater,12/12/2024,Male,732.46
106,Squirrel glider,Petaurus norfolcensis,2/26/2023,Male,405.23
107,Southern brown bandicoot,Isoodon obesulus,9/22/2000,Male,412.67
108,"Toucan, white-throated",Ramphastos tucanus,9/1/2022,Male,445.61
109,"Eagle, pallas's fish",Haliaeetus leucoryphus,12/20/1994,Female,788.02
110,White-throated monitor,Varanus albigularis,10/27/2007,Male,249.39
111,Green heron,Butorides striatus,4/6/2001,Male,467.1
112,"Fox, blue",Alopex lagopus,9/22/2005,Female,664.14
113,American buffalo,Bison bison,7/17/1998,Male,689.42
114,Lappet-faced vulture,Aegypius tracheliotus,11/14/2016,Female,416.54
115,Eastern cottontail rabbit,Sylvilagus floridanus,2/10/2002,Female,610.05
116,Dama wallaby,Macropus eugenii,7/9/1992,Female,412.59
117,"Rat, arboral spiny",Echimys chrysurus,6/30/1996,Female,487.56
118,Australian spiny anteater,Tachyglossus aculeatus,9/21/2019,Female,62.59
119,"Starling, red-shouldered glossy",Lamprotornis nitens,4/23/2003,Male,480.54
120,Red deer,Cervus elaphus,11/20/2002,Female,666.01
121,"Magpie, black-backed",Gymnorhina tibicen,3/22/2023,Male,782.99
122,Brown lemur,Lemur fulvus,12/10/1998,Female,630.23
123,Northern phalarope,Phalaropus lobatus,3/28/2010,Male,827.17
124,"Swan, black",Cygnus atratus,3/13/2012,Male,495.42
125,"Porcupine, crested",Hystrix cristata,1/28/2013,Male,436.25
126,"Dragon, western bearded",Amphibolurus barbatus,3/8/2023,Male,432.67
127,"Civet, common palm",Paradoxurus hermaphroditus,7/16/1998,Female,513.75
128,Crab-eating raccoon,Procyon cancrivorus,11/19/2006,Male,715.27
129,"Badger, american",Taxidea taxus,10/11/2016,Male,775.94
130,"Whale, southern right",Eubalaena australis,10/7/1994,Female,919.1
131,Ground legaan,Varanus sp.,11/4/2021,Female,168.14
132,Bare-faced go away bird,Lorythaixoides concolor,2/18/1992,Female,504.06
133,"Waxbill, black-cheeked",Estrilda erythronotos,11/21/1997,Male,536.83
134,"Vulture, white-rumped",Gyps bengalensis,10/26/2018,Male,984.96
135,Springbok,Antidorcas marsupialis,3/7/2002,Female,985.23
136,Red-breasted nuthatch,Sitta canadensis,12/20/2015,Male,422.43
